cave_map;0.0;0.0;0.0;0.0;0.0;0.0;
street_lamp;1.139922;-18.493469;-0.952465;0.0;-0.0;1.570796;
street_lamp;19.687727;-7.502528;-2.29181;0.0;-0.0;3.141593;
street_lamp;-21.00659;8.931648;3.341691;0.0;-0.0;0.566461;
tree;12.153283;6.260668;2.349488;0.0;0.0;0.0;
tree;9.680695;13.020342;3.703577;0.0;0.0;0.0;
tree;-5.796928;6.933201;4.592789;0.0;0.0;0.0;
tree;-1.480573;-0.382699;3.897036;0.0;0.0;0.0;
tree;5.863978;0.277961;2.068381;0.0;0.0;0.0;
tree;-17.906395;-9.611237;5.047175;0.0;0.0;0.0;
tree;-11.873155;-12.784826;4.097857;0.0;0.0;0.0;
tree;-9.399362;-6.427727;4.993648;0.0;0.0;0.0;
tree;3.675994;8.380471;3.784533;0.0;0.0;0.0;
tree;16.668427;-4.312961;0.637135;0.0;0.0;0.0;
tree;17.626675;-15.865105;0.09005;0.0;0.0;0.0;
tree;8.550603;-11.101031;1.621055;0.0;0.0;0.0;
tree;-2.123064;-15.614378;2.009129;0.0;0.0;0.0;
tree;-14.929262;-1.455042;5.609887;0.0;0.0;0.0;
tree;-0.678657;-7.488559;3.432619;0.0;0.0;0.0;
tree;-12.8525;6.815826;4.394114;0.0;0.0;0.0;
tree;-129.590271;58.324444;10.195304;0.0;0.0;0.0;
tree;-138.271088;43.114674;11.078974;0.0;0.0;0.0;
tree;-135.691254;31.679924;11.559757;0.0;0.0;0.0;
tree;-126.044975;30.895256;11.367981;0.0;0.0;0.0;
tree;-104.001411;42.363518;14.580821;0.0;0.0;0.0;
tree;-104.192001;57.143505;15.158854;0.0;0.0;0.0;
tree;-131.046204;37.582623;11.14532;0.0;0.0;0.0;
tree;-64.389717;17.572054;33.12479;0.0;0.0;0.0;
tree;-59.907234;33.489876;33.080746;0.0;0.0;0.0;
tree;-53.057293;10.475249;32.176044;0.0;0.0;0.0;
tree;-61.511028;55.729309;32.077332;0.0;0.0;0.0;
tree;-63.88126;45.134033;33.27655;0.0;0.0;0.0;
tree;-68.686646;66.497986;33.344349;0.0;0.0;0.0;
tree;-71.31842;32.809258;32.786015;0.0;0.0;0.0;
tree;-66.824501;26.579174;33.679817;0.0;0.0;0.0;
tree;-43.470032;36.733063;28.066681;0.0;0.0;0.0;
tree;-45.672028;17.191532;23.532482;0.0;0.0;0.0;
catwalk;0.0;0.0;0.0;0.0;0.0;0.0;
oak_log;0.0;0.0;0.0;0.0;0.0;0.0;
rope;2.42138;23.820265;14.337398;2.088704;0.0;0.0;
rope;7.12002;23.820265;14.337398;2.088704;0.0;0.0;
catwalk2;0.0;0.0;0.0;0.0;0.0;0.0;
huge_root;0.0;0.0;0.0;0.0;0.0;0.0;
apple;-421.579651;4.828243;87.236763;0.0;0.0;0.0;
gem1;0.0;0.0;0.0;0.0;0.0;0.0;
gem2;0.0;0.0;0.0;0.0;0.0;0.0;
gem3;0.0;0.0;0.0;0.0;0.0;0.0;
torches;0.0;0.0;0.0;0.0;0.0;0.0;
plant;0.0;0.0;0.0;0.0;0.0;0.0;
street_lamp_bulb;18.29497;-7.50253;2.19312;0.0;0.0;-3.141593;
street_lamp_bulb;1.13992;-17.100769;3.532465;0.0;-0.0;1.570796;
street_lamp_bulb;-19.831406;9.679057;7.82662;0.0;-0.0;0.566461;
monkey;0.0;0.0;10.0;0.0;-0.0;0.0;
sun_moon;-200.0;0.0;0.0;0.00001;0.00001;0.00001;
