gc;global;0.6;0.6;1.0;0.6;0.6;1.0;0.5;0.5;0.5;0.02;0.5;0.5;0.0;1.0;0.0;
rc;relative;0.0;0.0;0.0;0.1;0.1;0.166;0.0;0.0;0.0;0.04;0.001;0.001;0.0;2.0;-3.0;
c;light1;0.0;0.0;0.0;0.3;0.3;1.0;0.0;0.0;0.1;0.001;0.013;0.0;-68.3;-3.5;-36.5;
d;light2;-7.685;8.0;-6.667;
c;light3;0.0;0.0;0.0;0.3;0.3;0.0;0.0;0.0;0.1;0.0;0.01;0.000;-94.2;-7.6;-63.4;
c;light4;0.0;0.0;0.0;0.585;0.2;0.574;0.0;0.0;0.1;0.0;0.001;0.00001;-45.2;-49.6;-183.0;
c;light5;0.0;0.0;0.0;0.3;0.3;0.8;0.0;0.0;0.1;0.0;0.002;0.000;-207.0;-38.0;-163.1;
c;street_light1;0.0;0.0;0.0;0.7;0.8;1.0;0.0;0.0;0.0;0.01;0.01;0.001;18.29497;2.44312;7.50253;
c;street_light2;0.0;0.0;0.0;0.7;0.8;1.0;0.0;0.0;0.0;0.01;0.01;0.001;1.13992;3.982465;17.100769;
c;street_light3;0.0;0.0;0.0;0.7;0.8;1.0;0.0;0.0;0.0;0.01;0.01;0.001;-19.831406;8.07662;-9.679057;
